Serial Number,Descripción
C34G6N9GQ3,"MacBook Pro (16-inch, 2021) "
MJ61WFX7HC,"MacBook Pro (16-inch, 2021) "
DVWG4QMF33,"MacBook Pro (16-inch, 2021) "
WVF330J4XC,"MacBook Pro (14-inch, 2021) "
C02G44ASML85,MacBook Pro 13
C02FF4EUML85,MacBook Pro 13
C02FN5GFML85,MacBook Pro 13
C02DT48AML85,MacBook Pro 13
C02GD5RRML85,MacBook Pro 13
C02D25ZWML85,MacBook Pro 13
C02G667AML85,MacBook Pro 13
C02FK1M2MD6R,"MacBook Pro (16-inch, 2019) "
C02FF4YWMD6R,"MacBook Pro (16-inch, 2019) "
C02FM0C9MD6R,"MacBook Pro (16-inch, 2019) "
C02F144DMD6R,"MacBook Pro (16-inch, 2019) "
C02G8AARMD6R,"MacBook Pro (16-inch, 2019) "
C02FK1LJMD6R,"MacBook Pro (16-inch, 2019) "
C02FF4YNMD6R,"MacBook Pro (16-inch, 2019) "
C02F143TMD6R,"MacBook Pro (16-inch, 2019) "
C02G933LMD6R,"MacBook Pro (16-inch, 2019) "
C02FN4C4MD6R,"MacBook Pro (16-inch, 2019) "
C02G933DMD6R,"MacBook Pro (16-inch, 2019) "
DPFJ4CY9Q7,"MacBook Pro (16-inch, 2021) "
DR24T5V6MG,"MacBook Pro (16-inch, 2021) "
C02ZH6TKLVDQ,"MacBook Pro (15-inch, 2019) "
C02C37FUMD6N,"MacBook Pro (16-inch, 2019) "
C02YH1YBJGH6,"MacBook Pro (15-inch, 2018) "
C02YH1YCJGH6,"MacBook Pro (15-inch, 2018) "
C02FD0SKMD6R,"MacBook Pro (16-inch, 2019) "
C02Z77Y0LVDQ,Apple-MacBook-Pro 15
C02ZL0PDLVDQ,Apple-MacBook-Pro 15
C02F51RBML85,"MacBook Pro (13-inch, M1, 2020) "
FVFGF2L7Q05N,"MacBook Pro (13-inch, M1, 2020) "
C02F50JLML85,"MacBook Pro (13-inch, M1, 2020) "
C02G666ZML85,"MacBook Pro (13-inch, M1, 2020) "
C02G44PHML85,"MacBook Pro (13-inch, M1, 2020) "
C02FN5E3ML85,Apple-MacBook-Pro 13
FVFGF2N0Q05N,Apple-MacBook-Pro 13
C02C34NKMD6N,Apple-MacBook-Pro 16
C02DR7CFMD6R,Apple-MacBook-Pro 16
C02FK1LHMD6R,Apple-MacBook-Pro 16
C02GD3QHMD6R,Apple-MacBook-Pro 16
C02G8AARMD6R,Apple-MacBook-Pro 16
C02C42GZMD6N,Apple-MacBook-Pro 16
C02F144CMD6R,Apple-MacBook-Pro 16
C02C34J2MD6N,Apple-MacBook-Pro 16
C02DL8GUMD6R,Apple-MacBook-Pro 16
C02DT47RML85,"MacBook Pro (13-inch, 2020, Four Thunderbolt 3 ports) "
C02G9334MD6R,"MacBook Pro (16-inch, 2021) "
C02G933QMD6R,"MacBook Pro (16-inch, 2021) "
C02GD3QBMD6R,"MacBook Pro (16-inch, 2021) "
C02GD3QGMD6R,"MacBook Pro (16-inch, 2021) "
C02FM0BXMD6R,"MacBook Pro (16-inch, 2021) "
C02FF4Z4MD6R,"MacBook Pro (16-inch, 2021) "
C02Z823ULVDQ,"MacBook Pro (15-inch, 2019) "
C02G666XML85,"MacBook Pro (13-inch, 2020, Four Thunderbolt 3 ports) "
C02CK50HMD6R,"MacBook Pro (16-inch, 2019) "
C02FF4YVMD6R,"MacBook Pro (16-inch, 2019) "
C02C34Q2MD6N,"MacBook Pro (16-inch, 2019) "
C02G42EDMD6R,"MacBook Pro (16-inch, 2019) "
C02DR7BLMD6R,"MacBook Pro (16-inch, 2019) "
C02FL34WMD6R,"MacBook Pro (16-inch, 2019) "
C02G666NML85,Apple-MacBook-Pro 13
C02DT47XML85,"MacBook Pro (13-inch, 2020, Four Thunderbolt 3 ports) "
C02GD5FBMD6R,"MacBook Pro (16-inch, 2019) "
C02F143MMD6R,"MacBook Pro (16-inch, 2019) "
C02C34JRMD6N,"MacBook Pro (16-inch, 2019) "
C02DT480ML85,"MacBook Pro (13-inch, 2020, Four Thunderbolt 3 ports) "
C02WX85UJG5J,"MacBook Pro (15-inch, 2018) "
C02CK50EMD6R,AppleMacBook-Pro 16 TB
C02X1BKPJG5J,"MacBook Pro (15-inch, 2018) "
C02YH1YKJGH6,"MacBook Pro (15-inch, 2018) "
C02XD6A0JG5J,"MacBook Pro (15-inch, 2018) "
C02Z40BSLVDQ,Apple-MacBook-Pro 15 TB
